RBD,ESTABLECIMIENTO,COMUNA,AREA,PRUEBA,NIVEL,PUNTAJE
6512,ESCUELA VILLA LAS ARAUCARIAS,CARAHUE,RURAL,MATEMÁTICAS,2B,0
6521,ESCUELA BASICA CAMARONES,CARAHUE,RURAL,LENGUAJE,3B,631
6521,ESCUELA BASICA CAMARONES,CARAHUE,RURAL,LENGUAJE,1B,0
6521,ESCUELA BASICA CAMARONES,CARAHUE,RURAL,LENGUAJE,2B,0
6521,ESCUELA BASICA CAMARONES,CARAHUE,RURAL,MATEMÁTICAS,3B,631
6521,ESCUELA BASICA CAMARONES,CARAHUE,RURAL,MATEMÁTICAS,1B,0
6521,ESCUELA BASICA CAMARONES,CARAHUE,RURAL,MATEMÁTICAS,2B,0
6522,ESCUELA BASICA PUYANGUE,CARAHUE,RURAL,LENGUAJE,2B,563
6522,ESCUELA BASICA PUYANGUE,CARAHUE,RURAL,LENGUAJE,1B,566
6522,ESCUELA BASICA PUYANGUE,CARAHUE,RURAL,LENGUAJE,3B,0
6522,ESCUELA BASICA PUYANGUE,CARAHUE,RURAL,MATEMÁTICAS,1B,538
6522,ESCUELA BASICA PUYANGUE,CARAHUE,RURAL,MATEMÁTICAS,2B,555
6522,ESCUELA BASICA PUYANGUE,CARAHUE,RURAL,MATEMÁTICAS,3B,0
6523,ESCUELA BASICA CHOMIO,CARAHUE,RURAL,LENGUAJE,2B,572
6523,ESCUELA BASICA CHOMIO,CARAHUE,RURAL,LENGUAJE,3B,612
6523,ESCUELA BASICA CHOMIO,CARAHUE,RURAL,LENGUAJE,1B,0
6523,ESCUELA BASICA CHOMIO,CARAHUE,RURAL,MATEMÁTICAS,2B,624
6523,ESCUELA BASICA CHOMIO,CARAHUE,RURAL,MATEMÁTICAS,3B,651
6523,ESCUELA BASICA CHOMIO,CARAHUE,RURAL,MATEMÁTICAS,1B,0
6524,ESCUELA CULLINCO,CARAHUE,RURAL,LENGUAJE,3B,565
6524,ESCUELA CULLINCO,CARAHUE,RURAL,LENGUAJE,2B,584
6524,ESCUELA CULLINCO,CARAHUE,RURAL,LENGUAJE,1B,0
6524,ESCUELA CULLINCO,CARAHUE,RURAL,MATEMÁTICAS,3B,581
6524,ESCUELA CULLINCO,CARAHUE,RURAL,MATEMÁTICAS,2B,614
6524,ESCUELA CULLINCO,CARAHUE,RURAL,MATEMÁTICAS,1B,0
